City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,minas de marcona,-15.2119,-75.1103,17.39,57,61,3.81,PE,1718052580
1,oarai,36.3167,140.6,19.08,85,55,1.24,JP,1718052581
2,kutum,14.2,24.6667,26.26,50,100,6.59,SD,1718052344
3,horta,38.5333,-28.6333,20.01,79,40,3.6,PT,1718052345
4,edinburgh of the seven seas,-37.0676,-12.3116,14.43,75,16,9.88,SH,1718052582
5,tiksi,71.6872,128.8694,2.06,84,43,3.27,RU,1718052345
6,bilibino,68.0546,166.4372,10.93,59,100,0.89,RU,1718052583
7,zaki biam,7.5167,9.6167,26.92,75,78,2.9,NG,1718052583
8,egilsstadir,65.2653,-14.3948,7.95,66,20,4.63,IS,1718052583
9,suva,-18.1416,178.4415,21.71,94,20,1.54,FJ,1718052347
10,dudinka,69.4058,86.1778,6.49,86,88,3.13,RU,1718052584
11,bac lieu,9.285,105.7244,27.4,80,100,2.1,VN,1718052585
12,bredasdorp,-34.5322,20.0403,14.39,55,100,1.97,ZA,1718052585
13,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,86,0,4.47,RU,1718052586
14,waitangi,-43.9535,-176.5597,9.34,96,100,0.45,NZ,1718052586
15,naduvattam,11.4833,76.5667,14.93,91,100,2.73,IN,1718052586
16,zeya,53.75,127.2667,9.71,81,100,2.43,RU,1718052587
17,kaa-khem,51.6833,94.7333,16.34,58,20,2.4,RU,1718052587
18,port-aux-francais,-49.35,70.2167,4.95,92,100,22.1,TF,1718052588
19,vila franca do campo,37.7167,-25.4333,20.23,99,98,2.46,PT,1718052589
20,chonchi,-42.6128,-73.8092,11.18,91,99,3.86,CL,1718052490
21,adamstown,-25.066,-130.1015,22.67,81,100,7.35,PN,1718052589
22,mitu,1.1983,-70.1733,29.05,71,62,0.82,CO,1718052590
23,talnakh,69.4865,88.3972,6.23,90,28,3.65,RU,1718052590
24,udachny,66.4167,112.4,17.47,40,50,0.29,RU,1718052591
25,ongjin,37.9347,125.3619,18.5,95,94,3.18,KP,1718052591
26,puerto natales,-51.7236,-72.4875,2.25,93,75,2.06,CL,1718052384
27,brookings,44.3114,-96.7984,25.05,46,18,4.11,US,1718052592
28,birjand,32.8663,59.2211,21.26,18,0,2.06,IR,1718052429
29,paita,-5.0892,-81.1144,20.71,75,20,7.03,PE,1718052593
30,nuku'alofa,-21.1333,-175.2,24.19,73,75,4.63,TO,1718052593
31,west island,-12.1568,96.8225,25.99,94,75,7.2,CC,1718052594
32,antalaha,-14.9003,50.2788,20.61,87,10,3.25,MG,1718052594
33,san andres,12.5847,-81.7006,30.01,79,20,2.57,CO,1718052586
34,susuman,62.7833,148.1667,10.19,46,51,1.09,RU,1718052595
35,hawaiian paradise park,19.5933,-154.9731,27.15,70,100,1.34,US,1718052595
36,isafjordur,66.0755,-23.124,5.84,76,91,2.1,IS,1718052595
37,georgetown,5.4112,100.3354,27.97,83,20,1.54,MY,1718052421
38,bonthe,7.5264,-12.505,26.47,85,100,4.03,SL,1718052596
39,port lincoln,-34.7333,135.8667,16.46,83,100,8.33,AU,1718052596
40,luderitz,-26.6481,15.1594,19.49,48,59,1.57,NA,1718052597
41,saint john,45.2727,-66.0677,17.57,67,75,10.29,CA,1718052597
42,bardai,11.65,7.2333,26.93,66,83,4.0,NG,1718052598
43,yerofey pavlovich,53.9667,121.9667,11.12,90,99,1.31,RU,1718052598
44,tashtyp,52.7939,89.8983,11.11,89,99,0.8,RU,1718052599
45,aasiaat,68.7098,-52.8699,0.91,76,13,4.61,GL,1718052599
